country,year,population,gdp_usd,gdp_per_capita_usd,inflation_rate,unemployment_rate,life_expectancy,hdi,co2_tonnes_per_capita,economic_growth_rate
USA,2015,668000000,14209696000000,21272,4.13,2.77,80.9,0.589,11.86,7.92
USA,2015,444000000,2847816000000,6414,0.12,8.69,67.5,0.776,1.65,3.79
USA,2015,462000000,38880534000000,84157,7.16,17.16,75.3,0.713,19.54,-2.44
USA,2015,277000000,10930143000000,39459,4.45,10.65,75.1,0.78,13.8,-1.76
USA,2015,1174000000,30669576000000,26124,3.84,10.76,63.4,0.574,4.52,5.16
USA,2015,880000000,37554000000000,42675,5.05,16.78,70.3,0.652,4.01,6.36
USA,2015,172000000,13207880000000,76790,2.9,9.92,69.9,0.734,12.37,-2.12
USA,2015,1053000000,59288112000000,56304,1.14,7.47,83.5,0.723,19.26,-2.07
USA,2015,1147000000,87868229000000,76607,9.26,15.09,69.8,0.694,10.19,6.56
USA,2015,145000000,1996215000000,13767,11.28,9.59,77.3,0.575,14.18,4.77
USA,2015,1400000000,83875400000000,59911,2.7,8.17,77.4,0.559,9.5,-0.98
USA,2015,244000000,16154996000000,66209,-0.23,14.29,65.0,0.652,8.12,7.46
USA,2015,170000000,3961850000000,23305,4.84,10.79,82.3,0.886,17.35,0.34
USA,2015,855000000,41488020000000,48524,7.88,8.09,67.3,0.584,3.45,4.9
USA,2015,29000000,1886885000000,65065,9.8,4.92,68.5,0.61,10.92,4.32
USA,2015,657000000,11791836000000,17948,7.98,10.25,76.2,0.827,1.55,7.79
USA,2015,1398000000,104575992000000,74804,4.1,8.38,64.4,0.81,1.71,-2.19
USA,2015,432000000,25597296000000,59253,1.11,7.44,63.2,0.55,3.45,-1.78
USA,2015,749000000,61375307000000,81943,-0.67,15.99,76.1,0.611,5.42,1.17
USA,2015,750000000,47735250000000,63647,0.6,15.58,84.8,0.741,9.93,-1.97
China,2015,214000000,9931526000000,46409,8.62,9.66,77.9,0.762,4.5,8.42
China,2015,745000000,15432675000000,20715,7.97,16.63,79.4,0.672,13.04,-1.91
China,2015,539000000,37431933000000,69447,3.77,4.67,79.8,0.768,15.69,0.96
China,2015,461000000,37745297000000,81877,9.55,17.76,81.6,0.88,16.46,5.88
China,2015,469000000,12992707000000,27703,5.73,7.69,62.7,0.561,5.95,0.11
China,2015,1244000000,58001500000000,46625,4.81,16.99,84.7,0.942,7.61,-0.35
China,2015,469000000,29600466000000,63114,1.56,5.27,76.4,0.919,16.89,2.75
China,2015,1342000000,62522438000000,46589,9.4,3.36,77.2,0.923,15.75,6.0
China,2015,984000000,24500616000000,24899,4.64,12.17,64.0,0.938,14.58,2.56
China,2015,178000000,3973138000000,22321,1.21,4.03,65.5,0.921,16.23,-1.25
China,2015,1225000000,78000650000000,63674,7.54,7.61,74.6,0.604,0.78,8.65
China,2015,1335000000,19984950000000,14970,5.85,16.94,72.0,0.907,16.61,-0.47
China,2015,520000000,15282280000000,29389,2.81,5.85,75.5,0.656,8.67,-1.43
China,2015,729000000,44871408000000,61552,7.61,15.04,73.9,0.889,17.62,-1.43
China,2015,315000000,22086855000000,70117,5.64,15.96,79.9,0.8,15.63,-1.2
China,2015,294000000,18686934000000,63561,7.05,3.93,63.4,0.83,10.85,2.79
China,2015,222000000,16636458000000,74939,-0.26,5.06,63.0,0.59,9.32,-2.67
China,2015,134000000,7985998000000,59597,3.23,17.57,75.9,0.632,5.91,3.1
China,2015,984000000,66963168000000,68052,11.24,13.19,82.2,0.936,5.56,3.71
China,2015,419000000,25206202000000,60158,0.78,3.95,72.2,0.58,5.19,-2.12
India,2015,1376000000,56670560000000,41185,9.19,16.35,65.6,0.844,13.38,-1.28
India,2015,286000000,17962802000000,62807,1.85,17.24,71.2,0.75,19.8,6.99
India,2015,335000000,19450100000000,58060,11.92,8.46,71.7,0.696,2.3,1.39
India,2015,697000000,51661640000000,74120,4.96,13.25,70.8,0.762,6.26,8.53
India,2015,236000000,7423852000000,31457,11.63,3.68,68.1,0.566,15.69,0.25
India,2015,270000000,15348150000000,56845,10.04,12.82,83.8,0.716,10.96,3.18
India,2015,1017000000,45120222000000,44366,0.16,2.92,77.8,0.724,1.91,8.26
India,2015,1304000000,17092832000000,13108,9.42,3.34,81.7,0.577,17.32,2.45
India,2015,699000000,51719709000000,73991,4.43,16.65,76.3,0.568,14.34,8.26
India,2015,335000000,12002045000000,35827,-0.35,5.23,69.2,0.675,15.31,0.48
India,2015,1029000000,25536693000000,24817,2.52,14.86,84.9,0.565,0.86,3.07
India,2015,393000000,27078093000000,68901,5.17,16.95,64.4,0.886,8.93,2.94
India,2015,810000000,55008720000000,67912,3.0,5.44,67.3,0.631,17.7,5.75
India,2015,291000000,15872304000000,54544,11.86,17.71,81.3,0.556,12.7,7.56
India,2015,887000000,20309639000000,22897,-0.28,12.64,70.8,0.757,19.43,4.19
India,2015,605000000,4494545000000,7429,4.97,4.52,72.3,0.658,19.25,8.67
India,2015,1125000000,49394250000000,43906,2.18,17.45,69.1,0.696,0.52,1.58
India,2015,977000000,37183643000000,38059,5.54,5.22,73.6,0.552,5.65,-1.92
India,2015,823000000,64533899000000,78413,-0.46,2.36,69.0,0.645,11.92,3.35
India,2015,322000000,25660824000000,79692,4.06,7.22,84.6,0.611,14.62,4.72
Germany,2015,94000000,6461278000000,68737,7.16,13.74,80.7,0.607,10.71,3.05
Germany,2015,37000000,2887998000000,78054,9.37,13.38,84.0,0.814,2.16,-2.5
Germany,2015,1309000000,63850402000000,48778,11.47,8.03,72.4,0.571,0.87,3.38
Germany,2015,505000000,33144160000000,65632,2.43,9.31,63.6,0.932,18.01,-1.9
Germany,2015,1082000000,10989874000000,10157,8.69,9.58,80.6,0.897,5.08,6.08
Germany,2015,477000000,29496249000000,61837,5.42,8.12,73.0,0.83,15.46,4.4
Germany,2015,1321000000,36314290000000,27490,0.01,4.36,67.8,0.855,6.44,3.81
Germany,2015,30000000,1941930000000,64731,-0.21,6.3,77.5,0.834,13.68,0.49
Germany,2015,1062000000,41339412000000,38926,5.04,9.46,64.7,0.916,4.39,8.74
Germany,2015,973000000,3691562000000,3794,2.76,3.22,73.7,0.958,19.88,1.64
Germany,2015,436000000,4917644000000,11279,6.56,4.27,74.1,0.941,3.09,6.84
Germany,2015,1046000000,39897578000000,38143,10.53,13.25,67.3,0.918,9.98,-2.7
Germany,2015,12000000,791364000000,65947,7.86,8.49,78.7,0.721,7.83,-1.55
Germany,2015,683000000,1180224000000,1728,3.22,7.41,71.2,0.935,4.32,-2.86
Germany,2015,598000000,20744022000000,34689,3.84,8.29,85.0,0.792,7.53,2.14
Germany,2015,568000000,4445168000000,7826,2.65,2.83,77.2,0.81,3.4,8.65
Germany,2015,898000000,61487856000000,68472,3.1,14.37,80.1,0.725,1.07,6.14
Germany,2015,824000000,61085592000000,74133,6.14,13.51,63.1,0.85,9.29,6.03
Germany,2015,1324000000,51653212000000,39013,5.31,16.59,74.7,0.62,8.59,0.38
Germany,2015,528000000,18796800000000,35600,4.28,5.82,73.1,0.824,2.83,4.72
Japan,2015,158000000,4541868000000,28746,5.51,14.99,74.7,0.736,6.99,6.11
Japan,2015,880000000,17421360000000,19797,6.12,5.91,66.0,0.778,6.73,1.42
Japan,2015,1171000000,32782145000000,27995,10.53,13.99,71.5,0.72,10.72,1.52
Japan,2015,697000000,6714898000000,9634,5.48,11.19,70.3,0.832,10.82,6.48
Japan,2015,447000000,6095739000000,13637,2.52,5.98,71.2,0.733,19.1,7.18
Japan,2015,49000000,890722000000,18178,-0.58,13.35,82.6,0.744,11.95,-3.0
Japan,2015,806000000,56973722000000,70687,10.12,17.56,67.7,0.595,3.51,3.27
Japan,2015,228000000,14008776000000,61442,0.11,14.43,62.0,0.602,11.6,-2.55
Japan,2015,627000000,11456544000000,18272,7.14,10.45,72.1,0.863,2.44,0.6
Japan,2015,1198000000,31897948000000,26626,4.05,5.58,75.8,0.554,6.38,2.53
Japan,2015,652000000,21689432000000,33266,5.18,5.76,67.7,0.944,14.24,0.69
Japan,2015,49000000,1320207000000,26943,5.48,12.79,71.7,0.655,13.51,8.1
Japan,2015,469000000,31006059000000,66111,-0.56,7.41,71.7,0.83,4.36,6.56
Japan,2015,1038000000,10730844000000,10338,1.67,17.52,69.2,0.886,5.0,-0.34
Japan,2015,609000000,9614283000000,15787,11.38,9.93,66.3,0.642,8.63,4.98
Japan,2015,1223000000,25298978000000,20686,10.99,2.87,62.5,0.794,8.6,5.52
Japan,2015,382000000,20266246000000,53053,4.85,13.39,69.2,0.596,2.05,-1.01
Japan,2015,395000000,10196925000000,25815,7.48,10.4,72.8,0.678,14.64,7.07
Japan,2015,684000000,40691160000000,59490,1.2,2.05,68.4,0.694,19.13,-1.52
Japan,2015,429000000,22017996000000,51324,3.64,15.15,80.9,0.727,1.46,2.68
UK,2015,768000000,55663872000000,72479,10.95,5.09,70.4,0.918,1.09,1.93
UK,2015,1285000000,70101890000000,54554,-0.47,2.56,63.4,0.927,5.51,5.97
UK,2015,1245000000,57197790000000,45942,3.72,7.36,83.9,0.568,15.06,5.27
UK,2015,569000000,23033689000000,40481,-0.95,14.09,83.1,0.81,18.89,-2.71
UK,2015,483000000,7514514000000,15558,5.18,17.31,83.9,0.708,5.4,2.16
UK,2015,1015000000,19177410000000,18894,11.07,4.93,80.5,0.853,16.54,6.27
UK,2015,1248000000,40498848000000,32451,3.26,7.11,70.3,0.871,2.04,-0.63
UK,2015,332000000,11259780000000,33915,4.3,12.39,73.1,0.773,3.63,2.12
UK,2015,220000000,2410760000000,10958,2.44,3.35,64.2,0.754,14.34,2.36
UK,2015,484000000,9158732000000,18923,4.42,11.92,77.5,0.857,17.02,4.97
UK,2015,253000000,10126325000000,40025,2.82,11.07,70.6,0.853,4.38,-0.03
UK,2015,507000000,16410069000000,32367,0.99,16.15,75.3,0.684,8.22,8.91
UK,2015,1044000000,73585296000000,70484,2.01,14.94,77.0,0.956,2.5,2.7
UK,2015,478000000,28803802000000,60259,10.89,2.65,68.8,0.599,4.2,8.68
UK,2015,1199000000,32311851000000,26949,11.09,7.96,81.9,0.734,5.57,6.33
UK,2015,17000000,261188000000,15364,7.29,13.36,70.0,0.565,7.13,-2.47
UK,2015,527000000,3431297000000,6511,6.79,12.43,66.7,0.555,6.88,5.14
UK,2015,384000000,31832448000000,82897,3.06,5.25,80.3,0.775,1.73,-1.78
UK,2015,814000000,59916098000000,73607,1.01,10.54,77.0,0.713,5.79,8.86
UK,2015,1372000000,57372924000000,41817,4.43,2.82,79.1,0.912,8.57,-2.78
France,2015,750000000,20510250000000,27347,4.08,8.48,83.7,0.728,3.55,-1.64
France,2015,190000000,10401170000000,54743,6.51,7.84,79.8,0.603,1.51,-1.29
France,2015,817000000,10759073000000,13169,6.45,16.84,79.0,0.62,7.28,-1.06
France,2015,356000000,3664664000000,10294,0.41,9.85,80.5,0.946,4.35,-1.48
France,2015,94000000,6088662000000,64773,3.09,11.72,76.6,0.585,14.39,5.26
France,2015,333000000,10192131000000,30607,7.07,11.84,66.5,0.744,11.53,-2.5
France,2015,1065000000,23440650000000,22010,3.99,3.97,67.7,0.847,18.0,-2.51
France,2015,1156000000,7510532000000,6497,7.68,7.19,71.0,0.737,17.06,6.34
France,2015,1334000000,75449706000000,56559,3.01,5.99,71.0,0.701,10.32,-0.85
France,2015,12000000,991428000000,82619,11.82,9.44,72.3,0.804,16.47,7.04
France,2015,974000000,52569702000000,53973,0.39,4.06,71.9,0.588,9.12,3.12
France,2015,88000000,600864000000,6828,7.27,3.32,78.9,0.869,10.47,-2.35
France,2015,1037000000,52914999000000,51027,7.49,14.55,62.6,0.577,12.48,5.31
France,2015,229000000,6157581000000,26889,0.71,16.17,68.6,0.883,16.0,5.23
France,2015,457000000,4609759000000,10087,9.83,11.77,67.8,0.683,12.46,7.86
France,2015,939000000,19078602000000,20318,2.3,17.43,73.0,0.793,12.51,-0.15
France,2015,767000000,4852809000000,6327,1.59,8.46,76.6,0.664,6.89,1.52
France,2015,546000000,9054318000000,16583,8.99,2.78,81.7,0.946,9.33,3.26
France,2015,219000000,7562946000000,34534,11.91,12.08,71.1,0.877,5.66,8.89
France,2015,1187000000,24525794000000,20662,3.68,14.23,72.2,0.622,15.0,-2.42
Canada,2015,1061000000,36865506000000,34746,3.03,17.46,82.0,0.931,17.97,5.8
Canada,2015,74000000,2260700000000,30550,0.94,11.86,71.9,0.76,17.96,-1.42
Canada,2015,470000000,38438480000000,81784,7.49,2.36,62.1,0.696,2.57,1.29
Canada,2015,464000000,25827632000000,55663,6.59,11.43,66.7,0.806,9.76,-1.38
Canada,2015,503000000,10598210000000,21070,4.86,3.02,65.3,0.823,5.76,6.74
Canada,2015,28000000,247996000000,8857,7.38,11.0,70.1,0.815,9.15,8.25
Canada,2015,1014000000,34547994000000,34071,1.15,2.01,63.4,0.56,4.12,-1.09
Canada,2015,219000000,682842000000,3118,6.96,12.51,66.5,0.719,10.61,4.71
Canada,2015,1331000000,74437506000000,55926,9.57,4.79,69.1,0.673,1.45,7.67
Canada,2015,983000000,70843827000000,72069,-0.92,15.51,79.1,0.741,14.96,2.43
Canada,2015,467000000,7144633000000,15299,2.4,12.3,64.8,0.915,18.54,8.31
Canada,2015,544000000,4561440000000,8385,2.46,10.86,72.0,0.873,10.7,0.18
Canada,2015,1319000000,39493498000000,29942,0.11,10.12,65.9,0.921,16.91,-0.57
Canada,2015,331000000,14677533000000,44343,1.5,8.22,75.8,0.706,17.11,8.06
Canada,2015,1367000000,98151967000000,71801,5.1,15.44,78.0,0.902,9.03,5.7
Canada,2015,1173000000,49074801000000,41837,9.26,8.27,75.5,0.782,3.85,-2.61
Canada,2015,234000000,3622788000000,15482,7.09,4.59,84.5,0.837,1.1,-1.34
Canada,2015,1322000000,111818726000000,84583,-0.45,3.09,63.1,0.901,15.35,-0.61
Canada,2015,1098000000,11137014000000,10143,10.44,14.09,78.4,0.707,5.31,-0.56
Canada,2015,74000000,444888000000,6012,11.34,16.58,79.3,0.586,15.15,4.59
Brazil,2015,982000000,14328362000000,14591,0.72,14.67,76.9,0.671,7.06,0.13
Brazil,2015,723000000,25410558000000,35146,11.09,2.77,79.5,0.923,15.5,4.22
Brazil,2015,980000000,38417960000000,39202,7.04,2.5,71.5,0.729,15.57,1.16
Brazil,2015,103000000,7416103000000,72001,6.36,13.43,81.0,0.786,6.1,2.23
Brazil,2015,1077000000,30135537000000,27981,2.75,14.01,63.2,0.693,2.37,5.34
Brazil,2015,382000000,25336150000000,66325,6.7,17.32,73.8,0.787,3.6,6.78
Brazil,2015,479000000,32004385000000,66815,1.16,17.02,79.6,0.751,19.83,3.74
Brazil,2015,219000000,18353076000000,83804,3.25,3.52,83.4,0.916,15.03,2.07
Brazil,2015,1327000000,6368273000000,4799,3.84,6.85,71.8,0.773,3.84,8.79
Brazil,2015,1296000000,41621040000000,32115,11.27,4.03,75.7,0.833,12.3,-2.59
Brazil,2015,1196000000,53001936000000,44316,5.78,15.89,72.4,0.777,6.81,2.56
